                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2204,                  1.922,                  1.632,                0.37011,                0.41155,                0.31309,                0.12785,                 1.9134,                 2.5574,                 2.5724,             0.00066381,             0.00066381,             0.00066381
                      2,                 1.4086,                 1.6073,                 1.7602,                0.43556,                0.48827,                0.43977,                0.23434,                 1.4833,                 2.2859,                 2.0578,              0.0013173,              0.0013173,              0.0013173
                      3,                  1.418,                 1.5813,                 1.7819,                0.36434,                0.43412,                0.34322,                0.15647,                 1.7596,                 2.2062,                 2.4271,              0.0019576,              0.0019576,              0.0019576
                      4,                 1.3469,                 1.4595,                 1.7089,                0.63927,                0.59477,                0.62691,                0.35724,                 1.3719,                 1.6562,                 1.9251,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.2754,                 1.3679,                 1.6543,                0.64276,                0.66065,                0.66392,                0.39159,                 1.3186,                 1.6543,                 1.8753,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.2171,                 1.2892,                 1.6135,                0.70725,                0.65794,                0.73464,                0.46496,                 1.2179,                 1.2405,                 1.7529,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.1616,                  1.201,                  1.562,                0.58973,                0.63809,                0.62788,                0.36756,                 1.3501,                 1.4613,                 1.9022,               0.001901,               0.001901,               0.001901
                      8,                 1.1112,                 1.1434,                 1.5237,                0.76818,                0.73375,                0.79786,                0.55288,                 1.0488,                 1.0549,                 1.6244,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.0955,                 1.1112,                 1.5065,                0.81563,                0.75993,                0.84703,                0.60789,                0.99746,                0.93925,                 1.5588,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.0554,                 1.0472,                 1.4887,                0.82159,                0.69314,                 0.8208,                0.56931,                 1.0448,                 1.0283,                 1.5964,              0.0018416,              0.0018416,              0.0018416
                     11,                  1.016,                 1.0219,                 1.4431,                0.80754,                0.69681,                0.82154,                0.57444,                 1.0013,                0.96718,                  1.561,              0.0018218,              0.0018218,              0.0018218
                     12,                  0.986,                 0.9711,                 1.4187,                0.84205,                0.79874,                0.87647,                0.63978,                0.91537,                0.88723,                 1.4668,               0.001802,               0.001802,               0.001802
                     13,                0.97104,                0.93177,                 1.4086,                0.79392,                0.81679,                0.86541,                0.62553,                0.95748,                0.85134,                  1.471,              0.0017822,              0.0017822,              0.0017822
                     14,                0.95923,                0.91353,                 1.3976,                0.82769,                0.79335,                0.87583,                0.64583,                0.91785,                0.82752,                 1.4588,              0.0017624,              0.0017624,              0.0017624
                     15,                0.94697,                 0.8919,                 1.3957,                0.81286,                0.83755,                 0.8822,                0.65109,                0.91825,                0.79854,                 1.4557,              0.0017426,              0.0017426,              0.0017426
                     16,                0.92768,                0.85972,                 1.3662,                0.84122,                0.81764,                0.89648,                 0.6775,                0.86106,                0.76361,                 1.3886,              0.0017228,              0.0017228,              0.0017228
                     17,                0.91516,                0.84678,                 1.3646,                0.84132,                0.82671,                0.90344,                0.68248,                0.84584,                0.73637,                 1.3733,               0.001703,               0.001703,               0.001703
                     18,                 0.9149,                0.84147,                 1.3599,                0.81123,                0.77569,                 0.8455,                0.63444,                 0.8963,                 0.8316,                 1.4435,              0.0016832,              0.0016832,              0.0016832
                     19,                 0.9004,                 0.8352,                 1.3461,                0.89276,                0.80325,                0.90933,                0.70187,                0.81505,                0.72632,                 1.3362,              0.0016634,              0.0016634,              0.0016634
                     20,                0.87371,                0.81025,                 1.3301,                0.85418,                0.85018,                0.91777,                0.72316,                0.76728,                0.70324,                 1.3004,              0.0016436,              0.0016436,              0.0016436
                     21,                0.87254,                0.79896,                 1.3304,                0.88942,                0.86101,                0.93353,                0.73933,                0.75201,                0.61634,                 1.2843,              0.0016238,              0.0016238,              0.0016238
                     22,                0.84367,                0.76327,                 1.2994,                0.88585,                 0.8755,                0.93837,                0.73552,                 0.7724,                0.61968,                 1.2998,               0.001604,               0.001604,               0.001604
                     23,                0.84466,                0.73478,                 1.3072,                0.89585,                0.88538,                0.94007,                0.74753,                0.76033,                 0.5916,                 1.2948,              0.0015842,              0.0015842,              0.0015842
